head	relation	tail	head_type	tail_type
ENSG00000092531	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000143575	annotated_with	GO:0051897	Gene	GO
ENSG00000064655	involved_in	R-HSA-5693532	Gene	Pathway
ENSG00000266964	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000106178	annotated_with	GO:0007165	Gene	GO
ENSG00000100226	annotated_with	GO:0007165	Gene	GO
ENSG00000168961	annotated_with	GO:0010628	Gene	GO
ENSG00000132842	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000132842	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000088002	annotated_with	GO:0008285	Gene	GO
ENSG00000136869	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000136869	annotated_with	GO:0010628	Gene	GO
ENSG00000173156	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000166313	annotated_with	GO:0007050	Gene	GO
ENSG00000166313	involved_in	R-HSA-5693532	Gene	Pathway
ENSG00000166313	annotated_with	GO:0045893	Gene	GO
ENSG00000166313	annotated_with	GO:0007165	Gene	GO
ENSG00000103044	annotated_with	GO:0045893	Gene	GO
ENSG00000104689	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000104689	annotated_with	GO:0007165	Gene	GO
ENSG00000104689	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000104689	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000104689	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000104689	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000179603	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000241563	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000108671	annotated_with	GO:0000165	Gene	GO
ENSG00000108671	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000197170	annotated_with	GO:0000165	Gene	GO
ENSG00000197170	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000110801	annotated_with	GO:0000165	Gene	GO
ENSG00000110801	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000110801	annotated_with	GO:0045893	Gene	GO
ENSG00000110801	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000110801	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000138696	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000101307	annotated_with	GO:0007165	Gene	GO
ENSG00000101307	involved_in	R-HSA-2172127	Gene	Pathway
ENSG00000164220	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000133895	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000133895	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000133895	annotated_with	GO:0000165	Gene	GO
ENSG00000133895	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000133895	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000133895	annotated_with	GO:0008285	Gene	GO
ENSG00000141582	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000141582	involved_in	R-HSA-8939243	Gene	Pathway
ENSG00000141582	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000141582	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000141582	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000141582	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000141582	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000196235	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000196235	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000196235	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000196235	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000196235	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000130699	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000130699	involved_in	R-HSA-5633007	Gene	Pathway
ENSG00000130699	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000130699	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000130699	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000120436	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000127946	annotated_with	GO:0051897	Gene	GO
ENSG00000127946	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000127946	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000230685	annotated_with	GO:0007165	Gene	GO
ENSG00000226248	annotated_with	GO:0007165	Gene	GO
ENSG00000226417	annotated_with	GO:0007165	Gene	GO
ENSG00000223639	annotated_with	GO:0007165	Gene	GO
ENSG00000226651	annotated_with	GO:0007165	Gene	GO
ENSG00000206394	annotated_with	GO:0007165	Gene	GO
ENSG00000213719	annotated_with	GO:0007165	Gene	GO
ENSG00000164761	annotated_with	GO:0007165	Gene	GO
ENSG00000198373	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000198373	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000198373	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000097046	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000097046	annotated_with	GO:0008284	Gene	GO
ENSG00000097046	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000097046	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000133794	annotated_with	GO:0045893	Gene	GO
ENSG00000171608	involved_in	R-HSA-2219528	Gene	Pathway
ENSG00000171608	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000171608	involved_in	R-HSA-199418	Gene	Pathway
ENSG00000171608	annotated_with	GO:0007165	Gene	GO
ENSG00000171608	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000171608	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000171608	involved_in	R-HSA-2219530	Gene	Pathway
ENSG00000171608	annotated_with	GO:0010628	Gene	GO
ENSG00000171608	annotated_with	GO:0014065	Gene	GO
ENSG00000171608	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000171608	involved_in	R-HSA-6811558	Gene	Pathway
ENSG00000171608	annotated_with	GO:0051897	Gene	GO
ENSG00000171608	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000110435	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000110435	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000178919	annotated_with	GO:0045893	Gene	GO
ENSG00000078589	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000169359	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000106299	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000106299	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000186642	annotated_with	GO:0007165	Gene	GO
ENSG00000186642	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000186642	annotated_with	GO:0010628	Gene	GO
ENSG00000065150	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000099821	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000103319	annotated_with	GO:0046777	Gene	GO
ENSG00000103319	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000121797	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000150459	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000011405	annotated_with	GO:0014065	Gene	GO
ENSG00000168546	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000168546	annotated_with	GO:0000165	Gene	GO
ENSG00000168546	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000168546	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000168546	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2219528	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-109704	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-74751	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-210993	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2404192	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2172127	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-187037	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-199418	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-8939211	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-194138	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9009391	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9006934	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-186763	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2428924	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9673770	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9670439	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-389357	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-4420097	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2219530	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2428928	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-74752	Gene	Pathway
ENSG00000105647	annotated_with	GO:0014065	Gene	GO
ENSG00000105647	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-112399	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9673767	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-6811558	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9669938	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-2424491	Gene	Pathway
ENSG00000105647	annotated_with	GO:0051897	Gene	GO
ENSG00000105647	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-166520	Gene	Pathway
ENSG00000105647	involved_in	R-HSA-9671555	Gene	Pathway
ENSG00000082512	annotated_with	GO:0007165	Gene	GO
ENSG00000188157	annotated_with	GO:0007165	Gene	GO
ENSG00000188157	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000188157	annotated_with	GO:0009887	Gene	GO
ENSG00000143995	annotated_with	GO:0009887	Gene	GO
ENSG00000143995	annotated_with	GO:0008284	Gene	GO
