u	v	weight
ENSG00000080802	ENSG00000168894	0.6663023829460144
ENSG00000080802	ENSG00000274952	0.6625877022743225
ENSG00000080802	ENSG00000119630	0.6511626243591309
ENSG00000080802	ENSG00000126353	0.647844672203064
ENSG00000080802	ENSG00000111880	0.6344709992408752
ENSG00000080802	ENSG00000228090	0.6314356327056885
ENSG00000080802	ENSG00000169291	0.6181679368019104
ENSG00000080802	ENSG00000163840	0.6162806749343872
ENSG00000080802	ENSG00000136816	0.6051887273788452
ENSG00000080802	ENSG00000116791	0.6035422086715698
ENSG00000169519	ENSG00000239961	0.6289979219436646
ENSG00000169519	ENSG00000137804	0.5910383462905884
ENSG00000169519	ENSG00000170468	0.5887423157691956
ENSG00000169519	ENSG00000124279	0.5852434635162354
ENSG00000169519	ENSG00000242371	0.5801578760147095
ENSG00000169519	ENSG00000123612	0.5635836720466614
ENSG00000169519	ENSG00000143315	0.5605102777481079
ENSG00000169519	ENSG00000134817	0.5588535666465759
ENSG00000169519	ENSG00000160336	0.5586486458778381
ENSG00000169519	ENSG00000235657	0.5512469410896301
ENSG00000115233	ENSG00000170312	0.907043993473053
ENSG00000115233	ENSG00000163636	0.9042038917541504
ENSG00000115233	ENSG00000113013	0.9038920998573303
ENSG00000115233	ENSG00000114978	0.9015449285507202
ENSG00000115233	ENSG00000124164	0.9009424448013306
ENSG00000115233	ENSG00000174444	0.9002348780632019
ENSG00000115233	ENSG00000100519	0.8986502289772034
ENSG00000115233	ENSG00000005339	0.8923814296722412
ENSG00000115233	ENSG00000167553	0.8906874656677246
ENSG00000115233	ENSG00000136930	0.886430561542511
ENSG00000101639	ENSG00000125780	0.6216421723365784
ENSG00000101639	ENSG00000127507	0.5879558324813843
ENSG00000101639	ENSG00000232119	0.5785849094390869
ENSG00000101639	ENSG00000197429	0.5762284398078918
ENSG00000101639	ENSG00000203786	0.5679929256439209
ENSG00000101639	ENSG00000178338	0.5649614930152893
ENSG00000101639	ENSG00000111670	0.5436758399009705
ENSG00000101639	ENSG00000120158	0.5429392457008362
ENSG00000101639	ENSG00000147206	0.5318468809127808
ENSG00000101639	ENSG00000008282	0.5302408337593079
ENSG00000144283	ENSG00000120889	0.8457198739051819
ENSG00000144283	ENSG00000106397	0.840601921081543
ENSG00000144283	ENSG00000151929	0.8317564725875854
ENSG00000144283	ENSG00000125817	0.827926516532898
ENSG00000144283	ENSG00000188529	0.8254532217979431
ENSG00000144283	ENSG00000136492	0.820926308631897
ENSG00000144283	ENSG00000232045	0.8137210607528687
ENSG00000144283	ENSG00000149582	0.8089965581893921
ENSG00000144283	ENSG00000171914	0.8089703917503357
ENSG00000144283	ENSG00000196235	0.8076791763305664
ENSG00000115234	ENSG00000126746	0.6348759531974792
ENSG00000115234	ENSG00000104369	0.5986668467521667
ENSG00000115234	ENSG00000156711	0.5888140797615051
ENSG00000115234	ENSG00000186153	0.5701967477798462
ENSG00000115234	ENSG00000186908	0.5561242699623108
ENSG00000115234	ENSG00000133710	0.5535669326782227
ENSG00000115234	ENSG00000113356	0.5527378916740417
ENSG00000115234	ENSG00000136159	0.5465437173843384
