u	v	weight
ENSG00000157219	ENSG00000146938	0.6700356006622314
ENSG00000157219	ENSG00000166111	0.6366091370582581
ENSG00000157219	ENSG00000172410	0.6329712271690369
ENSG00000157219	ENSG00000231617	0.6257612109184265
ENSG00000157219	ENSG00000280789	0.6232832074165344
ENSG00000157219	ENSG00000046889	0.6229404211044312
ENSG00000157219	ENSG00000207811	0.618273138999939
ENSG00000157219	ENSG00000135898	0.6023368835449219
ENSG00000157219	ENSG00000184012	0.595386266708374
ENSG00000157219	ENSG00000273841	0.5854119658470154
ENSG00000123636	ENSG00000025434	0.7500113248825073
ENSG00000123636	ENSG00000059122	0.7172700762748718
ENSG00000123636	ENSG00000101782	0.7109261751174927
ENSG00000123636	ENSG00000186395	0.6811336874961853
ENSG00000123636	ENSG00000235107	0.6634777188301086
ENSG00000123636	ENSG00000172379	0.6529414057731628
ENSG00000123636	ENSG00000122257	0.6480289697647095
ENSG00000123636	ENSG00000112787	0.646742582321167
ENSG00000123636	ENSG00000140400	0.6461204290390015
ENSG00000123636	ENSG00000101938	0.6341317892074585
ENSG00000128294	ENSG00000064225	0.9055740833282471
ENSG00000128294	ENSG00000115902	0.8696333765983582
ENSG00000128294	ENSG00000168671	0.8554069399833679
ENSG00000128294	ENSG00000113532	0.8385116457939148
ENSG00000128294	ENSG00000152127	0.8313260078430176
ENSG00000128294	ENSG00000112893	0.8259485363960266
ENSG00000128294	ENSG00000168411	0.8129351735115051
ENSG00000128294	ENSG00000110090	0.8053832054138184
ENSG00000128294	ENSG00000165300	0.7968422770500183
ENSG00000128294	ENSG00000119684	0.7902421951293945
ENSG00000143862	ENSG00000167613	0.6377622485160828
ENSG00000143862	ENSG00000109686	0.5993649959564209
ENSG00000143862	ENSG00000160683	0.575227677822113
ENSG00000143862	ENSG00000128805	0.5732625126838684
ENSG00000143862	ENSG00000256762	0.5695650577545166
ENSG00000143862	ENSG00000087087	0.5668051242828369
ENSG00000143862	ENSG00000107566	0.5656419992446899
ENSG00000143862	ENSG00000164176	0.5656224489212036
ENSG00000143862	ENSG00000065057	0.5590766668319702
ENSG00000143862	ENSG00000136169	0.555675745010376
ENSG00000103528	ENSG00000145911	0.8052492141723633
ENSG00000103528	ENSG00000151967	0.6522879600524902
ENSG00000103528	ENSG00000168434	0.6384324431419373
ENSG00000103528	ENSG00000135392	0.6316717267036438
ENSG00000103528	ENSG00000044446	0.6311848759651184
ENSG00000103528	ENSG00000187175	0.6261905431747437
ENSG00000103528	ENSG00000204531	0.6090887784957886
ENSG00000103528	ENSG00000101639	0.6038352847099304
ENSG00000103528	ENSG00000165197	0.600128710269928
ENSG00000103528	ENSG00000153933	0.5996066927909851
ENSG00000002919	ENSG00000111206	0.8850653171539307
ENSG00000002919	ENSG00000174697	0.7994852662086487
ENSG00000002919	ENSG00000166233	0.7973800897598267
ENSG00000002919	ENSG00000168411	0.7890583276748657
ENSG00000002919	ENSG00000182872	0.7858899831771851
ENSG00000002919	ENSG00000110090	0.770508885383606
ENSG00000002919	ENSG00000147421	0.7510943412780762
ENSG00000002919	ENSG00000102316	0.7500236630439758
ENSG00000002919	ENSG00000288210	0.7484103441238403
ENSG00000002919	ENSG00000152595	0.7484069466590881
ENSG00000137274	ENSG00000158710	0.6896499395370483
ENSG00000137274	ENSG00000181274	0.6787646412849426
ENSG00000137274	ENSG00000116032	0.6783491373062134
ENSG00000137274	ENSG00000198689	0.6677034497261047
ENSG00000137274	ENSG00000010803	0.650319516658783
ENSG00000137274	ENSG00000125818	0.6431120038032532
ENSG00000137274	ENSG00000143493	0.6411007046699524
ENSG00000137274	ENSG00000214114	0.6373913288116455
ENSG00000137274	ENSG00000168395	0.634905219078064
ENSG00000137274	ENSG00000009954	0.6342210173606873
ENSG00000196263	ENSG00000120215	0.7252116799354553
ENSG00000196263	ENSG00000144040	0.7007214426994324
ENSG00000196263	ENSG00000087502	0.6951291561126709
ENSG00000196263	ENSG00000275544	0.6893455386161804
ENSG00000196263	ENSG00000161249	0.682070791721344
ENSG00000196263	ENSG00000282891	0.6797594428062439
ENSG00000196263	ENSG00000147647	0.6492704153060913
ENSG00000196263	ENSG00000151640	0.6490647196769714
ENSG00000196263	ENSG00000068724	0.6462576389312744
ENSG00000196263	ENSG00000049247	0.639102041721344
ENSG00000198000	ENSG00000110955	0.8632867336273193
ENSG00000198000	ENSG00000132646	0.8151994347572327
ENSG00000198000	ENSG00000157764	0.796043872833252
ENSG00000198000	ENSG00000170345	0.757915198802948
ENSG00000198000	ENSG00000196878	0.7414960861206055
ENSG00000198000	ENSG00000147140	0.7385212779045105
ENSG00000198000	ENSG00000148400	0.7370642423629761
ENSG00000198000	ENSG00000106153	0.7200923562049866
ENSG00000198000	ENSG00000026025	0.7188352942466736
ENSG00000198000	ENSG00000170638	0.7163697481155396
ENSG00000276799	ENSG00000165572	0.7068785429000854
ENSG00000276799	ENSG00000116731	0.6383011341094971
ENSG00000276799	ENSG00000128253	0.6268866658210754
ENSG00000276799	ENSG00000164916	0.6180348992347717
ENSG00000276799	ENSG00000180398	0.6167421340942383
ENSG00000276799	ENSG00000266074	0.6133534908294678
ENSG00000276799	ENSG00000135164	0.6131452918052673
ENSG00000276799	ENSG00000075945	0.6108909845352173
ENSG00000276799	ENSG00000004700	0.6075780391693115
ENSG00000276799	ENSG00000288250	0.6045372486114502
ENSG00000188996	ENSG00000099797	0.8200527429580688
ENSG00000188996	ENSG00000276726	0.7739244103431702
ENSG00000188996	ENSG00000275832	0.7511505484580994
ENSG00000188996	ENSG00000146670	0.7361300587654114
ENSG00000188996	ENSG00000184281	0.7276013493537903
ENSG00000188996	ENSG00000092201	0.7242926359176636
ENSG00000188996	ENSG00000120693	0.724045991897583
ENSG00000188996	ENSG00000101665	0.7230594754219055
ENSG00000188996	ENSG00000130741	0.7186226844787598
ENSG00000188996	ENSG00000159259	0.7183668613433838
ENSG00000109475	ENSG00000164967	0.8433756828308105
ENSG00000109475	ENSG00000077463	0.829315185546875
ENSG00000109475	ENSG00000107872	0.8119091391563416
ENSG00000109475	ENSG00000010671	0.8050490617752075
ENSG00000109475	ENSG00000163818	0.7969392538070679
ENSG00000109475	ENSG00000184343	0.7915778756141663
ENSG00000109475	ENSG00000007264	0.785968542098999
ENSG00000109475	ENSG00000101665	0.7765620946884155
ENSG00000109475	ENSG00000112078	0.7740339040756226
ENSG00000109475	ENSG00000136944	0.7666787505149841
ENSG00000166402	ENSG00000130703	0.7242966294288635
ENSG00000166402	ENSG00000111361	0.6247223019599915
ENSG00000166402	ENSG00000141551	0.6175650954246521
ENSG00000166402	ENSG00000162188	0.5976318717002869
ENSG00000166402	ENSG00000107758	0.5892746448516846
ENSG00000166402	ENSG00000161682	0.5883704423904419
ENSG00000166402	ENSG00000183840	0.5733619928359985
ENSG00000166402	ENSG00000288145	0.5620483160018921
ENSG00000166402	ENSG00000196230	0.5609980821609497
ENSG00000166402	ENSG00000186136	0.5578489303588867
ENSG00000266714	ENSG00000115993	0.6603655219078064
ENSG00000266714	ENSG00000156804	0.6542813181877136
ENSG00000266714	ENSG00000197323	0.6223921775817871
ENSG00000266714	ENSG00000140009	0.6187738180160522
ENSG00000266714	ENSG00000184787	0.6167638897895813
ENSG00000266714	ENSG00000145391	0.6146367192268372
ENSG00000266714	ENSG00000137168	0.6047689318656921
ENSG00000266714	ENSG00000072501	0.5963009595870972
ENSG00000266714	ENSG00000130741	0.5919399857521057
ENSG00000266714	ENSG00000184363	0.5899560451507568
ENSG00000196275	ENSG00000140931	0.5692546367645264
ENSG00000196275	ENSG00000168916	0.5337015390396118
ENSG00000196275	ENSG00000129038	0.5289639830589294
ENSG00000196275	ENSG00000285109	0.5213512778282166
ENSG00000196275	ENSG00000154930	0.49770066142082214
ENSG00000196275	ENSG00000122557	0.4964444935321808
ENSG00000196275	ENSG00000197249	0.49039992690086365
ENSG00000196275	ENSG00000170903	0.483778715133667
ENSG00000196275	ENSG00000126003	0.48358893394470215
ENSG00000196275	ENSG00000007062	0.48358434438705444
ENSG00000160803	ENSG00000147155	0.772109866142273
ENSG00000160803	ENSG00000173801	0.7520884275436401
ENSG00000160803	ENSG00000276561	0.7219884395599365
ENSG00000160803	ENSG00000148143	0.7158676385879517
ENSG00000160803	ENSG00000118729	0.7138702273368835
ENSG00000160803	ENSG00000166851	0.710059642791748
ENSG00000160803	ENSG00000138668	0.7040462493896484
ENSG00000160803	ENSG00000111786	0.7032800912857056
ENSG00000160803	ENSG00000143799	0.70225590467453
ENSG00000160803	ENSG00000111816	0.6942744255065918
ENSG00000173239	ENSG00000275474	0.6055727005004883
ENSG00000173239	ENSG00000273873	0.6031861305236816
ENSG00000173239	ENSG00000224552	0.5950695276260376
ENSG00000173239	ENSG00000184009	0.582125186920166
ENSG00000173239	ENSG00000271503	0.58149254322052
ENSG00000173239	ENSG00000134595	0.5769014358520508
ENSG00000173239	ENSG00000155975	0.5708674192428589
ENSG00000173239	ENSG00000111252	0.5690006017684937
ENSG00000173239	ENSG00000212724	0.5654246807098389
ENSG00000173239	ENSG00000140319	0.5571596026420593
ENSG00000101152	ENSG00000134215	0.9214221239089966
ENSG00000101152	ENSG00000205189	0.9175757169723511
ENSG00000101152	ENSG00000184470	0.9168733358383179
ENSG00000101152	ENSG00000112200	0.915002703666687
ENSG00000101152	ENSG00000173517	0.9147686958312988
ENSG00000101152	ENSG00000126368	0.9133054614067078
ENSG00000101152	ENSG00000107779	0.9100633263587952
ENSG00000101152	ENSG00000262785	0.9050355553627014
ENSG00000101152	ENSG00000168575	0.8897578716278076
ENSG00000101152	ENSG00000160396	0.8791099786758423
ENSG00000119718	ENSG00000109189	0.709069013595581
ENSG00000119718	ENSG00000120896	0.6983916163444519
ENSG00000119718	ENSG00000197063	0.6825301647186279
ENSG00000119718	ENSG00000139269	0.6809887886047363
ENSG00000119718	ENSG00000276726	0.6783142685890198
ENSG00000119718	ENSG00000100393	0.6764183044433594
ENSG00000119718	ENSG00000099875	0.6739950776100159
ENSG00000119718	ENSG00000116251	0.6722003817558289
ENSG00000119718	ENSG00000064309	0.667392373085022
ENSG00000119718	ENSG00000117450	0.6618350744247437
ENSG00000096150	ENSG00000278489	0.6772150993347168
ENSG00000096150	ENSG00000135916	0.6731476783752441
ENSG00000096150	ENSG00000280789	0.6726277470588684
ENSG00000096150	ENSG00000243135	0.6670270562171936
ENSG00000096150	ENSG00000143756	0.666081428527832
ENSG00000096150	ENSG00000170889	0.6574362516403198
ENSG00000096150	ENSG00000237123	0.6459884643554688
ENSG00000096150	ENSG00000109332	0.6425327658653259
ENSG00000096150	ENSG00000146414	0.6414796710014343
ENSG00000096150	ENSG00000211460	0.6409032344818115
ENSG00000173868	ENSG00000120802	0.8172956109046936
ENSG00000173868	ENSG00000181722	0.7774068713188171
ENSG00000173868	ENSG00000198911	0.7697094082832336
ENSG00000173868	ENSG00000187607	0.7539743185043335
ENSG00000173868	ENSG00000285248	0.7533673048019409
ENSG00000173868	ENSG00000101473	0.7492847442626953
ENSG00000173868	ENSG00000174136	0.7356677651405334
ENSG00000173868	ENSG00000101109	0.7286631464958191
ENSG00000173868	ENSG00000116717	0.7151637077331543
ENSG00000173868	ENSG00000139637	0.7091431617736816
ENSG00000108509	ENSG00000176473	0.8522740602493286
ENSG00000108509	ENSG00000212721	0.6014744639396667
ENSG00000108509	ENSG00000241233	0.5871691703796387
ENSG00000108509	ENSG00000158050	0.57938551902771
ENSG00000108509	ENSG00000198570	0.5765833258628845
ENSG00000108509	ENSG00000186017	0.5653864145278931
ENSG00000108509	ENSG00000116574	0.561238169670105
ENSG00000108509	ENSG00000089335	0.558979868888855
ENSG00000108509	ENSG00000168936	0.5571115016937256
ENSG00000108509	ENSG00000278444	0.5487737655639648
ENSG00000161526	ENSG00000134256	0.7340676188468933
ENSG00000161526	ENSG00000159217	0.7195172309875488
ENSG00000161526	ENSG00000177519	0.7153595685958862
ENSG00000161526	ENSG00000197889	0.7141979932785034
ENSG00000161526	ENSG00000007312	0.7010117769241333
ENSG00000161526	ENSG00000100796	0.6974210143089294
ENSG00000161526	ENSG00000103154	0.6838036179542542
ENSG00000161526	ENSG00000106078	0.6758443713188171
ENSG00000161526	ENSG00000228278	0.671661376953125
ENSG00000161526	ENSG00000166164	0.6700637340545654
ENSG00000127914	ENSG00000168610	0.7889204621315002
ENSG00000127914	ENSG00000164548	0.774414598941803
ENSG00000127914	ENSG00000132382	0.7274331450462341
ENSG00000127914	ENSG00000149269	0.7228416800498962
ENSG00000127914	ENSG00000150768	0.7214608788490295
ENSG00000127914	ENSG00000092841	0.7178821563720703
ENSG00000127914	ENSG00000176058	0.7134934663772583
ENSG00000127914	ENSG00000064419	0.7111589312553406
ENSG00000127914	ENSG00000167757	0.7085906267166138
ENSG00000127914	ENSG00000145907	0.7039233446121216
ENSG00000157077	ENSG00000115355	0.850803017616272
ENSG00000157077	ENSG00000170606	0.8500244617462158
ENSG00000157077	ENSG00000188486	0.8497586250305176
ENSG00000157077	ENSG00000140455	0.8398649096488953
ENSG00000157077	ENSG00000117748	0.8398419618606567
ENSG00000157077	ENSG00000140632	0.8389021754264832
ENSG00000157077	ENSG00000114062	0.8340368866920471
ENSG00000157077	ENSG00000163399	0.8336046934127808
ENSG00000157077	ENSG00000101868	0.8074200749397278
ENSG00000157077	ENSG00000116871	0.8068686127662659
ENSG00000198938	ENSG00000177425	0.7635834217071533
ENSG00000198938	ENSG00000130717	0.7201130986213684
ENSG00000198938	ENSG00000064886	0.7143690586090088
ENSG00000198938	ENSG00000138802	0.6892539858818054
ENSG00000198938	ENSG00000276996	0.68534916639328
ENSG00000198938	ENSG00000101199	0.6827210783958435
ENSG00000198938	ENSG00000273529	0.673262357711792
ENSG00000198938	ENSG00000172893	0.6614475846290588
ENSG00000198938	ENSG00000106077	0.6592925190925598
ENSG00000198938	ENSG00000272805	0.6526843309402466
ENSG00000105426	ENSG00000138594	0.8349990248680115
ENSG00000105426	ENSG00000067842	0.8287287354469299
ENSG00000105426	ENSG00000121957	0.7974528074264526
ENSG00000105426	ENSG00000121417	0.7847976088523865
ENSG00000105426	ENSG00000120725	0.7834606170654297
ENSG00000105426	ENSG00000099204	0.7676973342895508
ENSG00000105426	ENSG00000163634	0.7589613795280457
ENSG00000105426	ENSG00000122779	0.7515892386436462
ENSG00000105426	ENSG00000095015	0.749731719493866
ENSG00000105426	ENSG00000119777	0.7479660511016846
ENSG00000285383	ENSG00000122592	0.8303325176239014
ENSG00000285383	ENSG00000171509	0.783557653427124
ENSG00000285383	ENSG00000196693	0.7352166175842285
ENSG00000285383	ENSG00000060718	0.7295840978622437
ENSG00000285383	ENSG00000275714	0.7246701717376709
ENSG00000285383	ENSG00000161921	0.7059816122055054
ENSG00000285383	ENSG00000035664	0.654644787311554
ENSG00000285383	ENSG00000105928	0.653472363948822
ENSG00000285383	ENSG00000211937	0.6526123881340027
ENSG00000285383	ENSG00000116962	0.6443741321563721
ENSG00000130957	ENSG00000162444	0.7085627913475037
ENSG00000130957	ENSG00000213214	0.6628940105438232
ENSG00000130957	ENSG00000096006	0.6431180238723755
ENSG00000130957	ENSG00000169594	0.6334872841835022
ENSG00000130957	ENSG00000091138	0.6261111497879028
ENSG00000130957	ENSG00000134717	0.6102474927902222
ENSG00000130957	ENSG00000165175	0.6048994660377502
ENSG00000130957	ENSG00000166821	0.6041944026947021
ENSG00000130957	ENSG00000163806	0.5964043140411377
ENSG00000130957	ENSG00000282854	0.5932878255844116
ENSG00000103266	ENSG00000168496	0.8092684149742126
ENSG00000103266	ENSG00000092199	0.7789342403411865
ENSG00000103266	ENSG00000113758	0.7567164897918701
ENSG00000103266	ENSG00000143398	0.7446162700653076
ENSG00000103266	ENSG00000226384	0.7385661005973816
ENSG00000103266	ENSG00000147403	0.7348642945289612
ENSG00000103266	ENSG00000100242	0.7312139272689819
ENSG00000103266	ENSG00000091732	0.730774998664856
ENSG00000103266	ENSG00000073067	0.7250184416770935
ENSG00000103266	ENSG00000186010	0.7243025898933411
ENSG00000173221	ENSG00000116649	0.7523961663246155
ENSG00000173221	ENSG00000165140	0.743697464466095
ENSG00000173221	ENSG00000187514	0.7436884045600891
ENSG00000173221	ENSG00000088367	0.7281633019447327
ENSG00000173221	ENSG00000114745	0.7272647619247437
ENSG00000173221	ENSG00000065054	0.7271418571472168
ENSG00000173221	ENSG00000075826	0.7205066084861755
ENSG00000173221	ENSG00000022840	0.7179831266403198
ENSG00000173221	ENSG00000224145	0.7178313732147217
ENSG00000173221	ENSG00000105251	0.7153712511062622
ENSG00000086827	ENSG00000165113	0.6466814279556274
ENSG00000086827	ENSG00000282956	0.590498685836792
ENSG00000086827	ENSG00000149273	0.5679195523262024
ENSG00000086827	ENSG00000114738	0.5546176433563232
ENSG00000086827	ENSG00000085552	0.5331891179084778
ENSG00000086827	ENSG00000184937	0.5281846523284912
ENSG00000086827	ENSG00000117115	0.5265616774559021
ENSG00000086827	ENSG00000118873	0.5245401263237
ENSG00000086827	ENSG00000164022	0.5207854509353638
ENSG00000086827	ENSG00000158411	0.51230788230896
ENSG00000184164	ENSG00000066697	0.8144752383232117
ENSG00000184164	ENSG00000162624	0.6927358508110046
ENSG00000184164	ENSG00000163884	0.648923397064209
ENSG00000184164	ENSG00000277462	0.6261764168739319
ENSG00000184164	ENSG00000180815	0.6198015809059143
ENSG00000184164	ENSG00000184368	0.6028914451599121
ENSG00000184164	ENSG00000084693	0.5916031002998352
ENSG00000184164	ENSG00000177464	0.5880843997001648
ENSG00000184164	ENSG00000092067	0.5849748849868774
ENSG00000184164	ENSG00000173821	0.5661737322807312
ENSG00000009307	ENSG00000131981	0.6338885426521301
ENSG00000009307	ENSG00000104064	0.6289661526679993
ENSG00000009307	ENSG00000142677	0.618582010269165
ENSG00000009307	ENSG00000077463	0.6179198026657104
ENSG00000009307	ENSG00000274497	0.6132789254188538
ENSG00000009307	ENSG00000106560	0.6073556542396545
ENSG00000009307	ENSG00000186965	0.6043416261672974
ENSG00000009307	ENSG00000137807	0.5983712673187256
ENSG00000009307	ENSG00000103150	0.5951709151268005
ENSG00000009307	ENSG00000135913	0.5882854461669922
ENSG00000169071	ENSG00000005812	0.7095216512680054
ENSG00000169071	ENSG00000197594	0.6892920136451721
ENSG00000169071	ENSG00000064995	0.6879968643188477
ENSG00000169071	ENSG00000140992	0.6865300536155701
ENSG00000169071	ENSG00000163788	0.6826373934745789
ENSG00000169071	ENSG00000214114	0.665026068687439
ENSG00000169071	ENSG00000134287	0.6644538044929504
ENSG00000169071	ENSG00000131652	0.6618621349334717
ENSG00000169071	ENSG00000285426	0.654374361038208
ENSG00000169071	ENSG00000140859	0.6540530920028687
ENSG00000008382	ENSG00000113248	0.6910514235496521
ENSG00000008382	ENSG00000111206	0.6488540768623352
ENSG00000008382	ENSG00000174697	0.6467491388320923
ENSG00000008382	ENSG00000147421	0.6225112080574036
ENSG00000008382	ENSG00000002919	0.6181899905204773
ENSG00000008382	ENSG00000136720	0.61146080493927
ENSG00000008382	ENSG00000101639	0.6035082340240479
ENSG00000008382	ENSG00000105928	0.5999249815940857
ENSG00000008382	ENSG00000130255	0.5953418016433716
ENSG00000008382	ENSG00000283649	0.5843744874000549
ENSG00000282830	ENSG00000164076	0.7193920016288757
ENSG00000282830	ENSG00000175414	0.6897058486938477
ENSG00000282830	ENSG00000120254	0.671052098274231
ENSG00000282830	ENSG00000175063	0.6621626615524292
ENSG00000282830	ENSG00000102178	0.6536850333213806
ENSG00000282830	ENSG00000133083	0.6517764329910278
ENSG00000282830	ENSG00000176771	0.6494265794754028
ENSG00000282830	ENSG00000125814	0.6458815336227417
ENSG00000282830	ENSG00000003393	0.6193528771400452
ENSG00000282830	ENSG00000138778	0.611766517162323
ENSG00000241822	ENSG00000159792	0.6139668226242065
ENSG00000241822	ENSG00000137727	0.5933598279953003
ENSG00000241822	ENSG00000211668	0.588404655456543
ENSG00000241822	ENSG00000163519	0.5854665637016296
ENSG00000241822	ENSG00000125812	0.5834022760391235
ENSG00000241822	ENSG00000143536	0.5780699849128723
ENSG00000241822	ENSG00000168077	0.5770735740661621
ENSG00000241822	ENSG00000188991	0.5701529383659363
ENSG00000241822	ENSG00000184887	0.5680670142173767
ENSG00000241822	ENSG00000134198	0.5627120137214661
ENSG00000161714	ENSG00000090615	0.6578971743583679
ENSG00000161714	ENSG00000184402	0.6301827430725098
ENSG00000161714	ENSG00000198001	0.6176081895828247
ENSG00000161714	ENSG00000149557	0.6140211820602417
ENSG00000161714	ENSG00000080986	0.6132777333259583
ENSG00000161714	ENSG00000276021	0.6042038202285767
ENSG00000161714	ENSG00000023839	0.6012457013130188
ENSG00000161714	ENSG00000128585	0.5944703817367554
ENSG00000161714	ENSG00000263465	0.5937915444374084
ENSG00000161714	ENSG00000184117	0.5908836722373962
ENSG00000105707	ENSG00000160781	0.8727455735206604
ENSG00000105707	ENSG00000120306	0.8645032644271851
ENSG00000105707	ENSG00000105677	0.8483869433403015
ENSG00000105707	ENSG00000174227	0.8401724100112915
ENSG00000105707	ENSG00000106537	0.8240962624549866
ENSG00000105707	ENSG00000177576	0.8138970136642456
ENSG00000105707	ENSG00000166111	0.7649363279342651
ENSG00000105707	ENSG00000123415	0.6400187611579895
ENSG00000105707	ENSG00000105671	0.6129903197288513
ENSG00000105707	ENSG00000158691	0.6068654656410217
ENSG00000154832	ENSG00000076003	0.8277283906936646
ENSG00000154832	ENSG00000100297	0.8107269406318665
ENSG00000154832	ENSG00000134852	0.8000057935714722
ENSG00000154832	ENSG00000066135	0.7977884411811829
ENSG00000154832	ENSG00000025293	0.7976968288421631
ENSG00000154832	ENSG00000124795	0.7918511033058167
ENSG00000154832	ENSG00000077150	0.7865495681762695
ENSG00000154832	ENSG00000155034	0.7845177054405212
ENSG00000154832	ENSG00000258947	0.779159665107727
ENSG00000154832	ENSG00000172977	0.7781575322151184
ENSG00000148120	ENSG00000177082	0.6602732539176941
ENSG00000148120	ENSG00000176746	0.5826210975646973
ENSG00000148120	ENSG00000166796	0.5500245690345764
ENSG00000148120	ENSG00000114021	0.5497553944587708
ENSG00000148120	ENSG00000133805	0.541563093662262
ENSG00000148120	ENSG00000172005	0.527003824710846
ENSG00000148120	ENSG00000062194	0.5267382860183716
