u	v	weight
ENSG00000154928	ENSG00000134996	0.7695158123970032
ENSG00000154928	ENSG00000145741	0.7439597845077515
ENSG00000154928	ENSG00000125898	0.7358610033988953
ENSG00000154928	ENSG00000169122	0.7339431047439575
ENSG00000154928	ENSG00000173320	0.7252438068389893
ENSG00000154928	ENSG00000068120	0.7149683833122253
ENSG00000154928	ENSG00000185800	0.7131831049919128
ENSG00000154928	ENSG00000154040	0.7114794850349426
ENSG00000154928	ENSG00000087510	0.7102554440498352
ENSG00000154928	ENSG00000126878	0.7040547132492065
ENSG00000182985	ENSG00000182827	0.6966415643692017
ENSG00000182985	ENSG00000282823	0.6819236874580383
ENSG00000182985	ENSG00000140350	0.6577720642089844
ENSG00000182985	ENSG00000119471	0.6567723751068115
ENSG00000182985	ENSG00000099219	0.6424575448036194
ENSG00000182985	ENSG00000163728	0.6353731155395508
ENSG00000182985	ENSG00000140836	0.6286222338676453
ENSG00000182985	ENSG00000159251	0.6156415343284607
ENSG00000182985	ENSG00000234012	0.6114564538002014
ENSG00000182985	ENSG00000162923	0.6069978475570679
ENSG00000075945	ENSG00000142856	0.7862270474433899
ENSG00000075945	ENSG00000170759	0.7800428867340088
ENSG00000075945	ENSG00000163125	0.7772468328475952
ENSG00000075945	ENSG00000184897	0.7752612233161926
ENSG00000075945	ENSG00000166477	0.7725396156311035
ENSG00000075945	ENSG00000099204	0.7655350565910339
ENSG00000075945	ENSG00000130479	0.7620308995246887
ENSG00000075945	ENSG00000164305	0.7598675489425659
ENSG00000075945	ENSG00000103194	0.758634090423584
ENSG00000075945	ENSG00000102225	0.7422763109207153
ENSG00000203786	ENSG00000141867	0.8719241619110107
ENSG00000203786	ENSG00000131873	0.7770327925682068
ENSG00000203786	ENSG00000183258	0.7705332040786743
ENSG00000203786	ENSG00000243725	0.7604115605354309
ENSG00000203786	ENSG00000258947	0.7555979490280151
ENSG00000203786	ENSG00000105656	0.7542468309402466
ENSG00000203786	ENSG00000147509	0.752291202545166
ENSG00000203786	ENSG00000083750	0.7497325539588928
ENSG00000203786	ENSG00000126953	0.7483665347099304
ENSG00000203786	ENSG00000124788	0.7460733652114868
ENSG00000136710	ENSG00000107859	0.7169520258903503
ENSG00000136710	ENSG00000273706	0.6670037508010864
ENSG00000136710	ENSG00000110344	0.6501929759979248
ENSG00000136710	ENSG00000117600	0.6358288526535034
ENSG00000136710	ENSG00000155660	0.6356074213981628
ENSG00000136710	ENSG00000285241	0.6281956434249878
ENSG00000136710	ENSG00000008197	0.6221124529838562
ENSG00000136710	ENSG00000144029	0.6167399287223816
ENSG00000136710	ENSG00000230456	0.6009922623634338
ENSG00000136710	ENSG00000107872	0.5939012169837952
ENSG00000167004	ENSG00000135845	0.6415649056434631
ENSG00000167004	ENSG00000077942	0.6014934778213501
ENSG00000167004	ENSG00000181965	0.5786581039428711
ENSG00000167004	ENSG00000145908	0.5576234459877014
ENSG00000167004	ENSG00000149600	0.5575193762779236
ENSG00000167004	ENSG00000091583	0.5574537515640259
ENSG00000167004	ENSG00000165644	0.5421657562255859
ENSG00000167004	ENSG00000151348	0.5367866158485413
ENSG00000167004	ENSG00000124006	0.5320371985435486
ENSG00000167004	ENSG00000100568	0.5270179510116577
ENSG00000204941	ENSG00000125409	0.6448031663894653
ENSG00000204941	ENSG00000135374	0.6228577494621277
