u	v	weight
ENSG00000128973	ENSG00000133028	0.8209063410758972
ENSG00000128973	ENSG00000197860	0.7496518492698669
ENSG00000128973	ENSG00000082397	0.7480472922325134
ENSG00000128973	ENSG00000028137	0.736477255821228
ENSG00000128973	ENSG00000277586	0.7349923253059387
ENSG00000128973	ENSG00000101391	0.7241109609603882
ENSG00000128973	ENSG00000170703	0.718300998210907
ENSG00000128973	ENSG00000137203	0.715731680393219
ENSG00000128973	ENSG00000203618	0.6983604431152344
ENSG00000128973	ENSG00000138119	0.6892167925834656
ENSG00000073910	ENSG00000121406	0.6569087505340576
ENSG00000073910	ENSG00000101282	0.6546582579612732
ENSG00000073910	ENSG00000213390	0.6536690592765808
ENSG00000073910	ENSG00000165476	0.6507507562637329
ENSG00000073910	ENSG00000155368	0.6480817794799805
ENSG00000073910	ENSG00000134077	0.6476112008094788
ENSG00000073910	ENSG00000139880	0.6404023766517639
ENSG00000073910	ENSG00000233822	0.6346629858016968
ENSG00000073910	ENSG00000143869	0.6306033134460449
ENSG00000073910	ENSG00000107949	0.6294341683387756
ENSG00000141384	ENSG00000108679	0.763327419757843
ENSG00000141384	ENSG00000162892	0.7487197518348694
ENSG00000141384	ENSG00000142798	0.735629677772522
ENSG00000141384	ENSG00000255529	0.7291303277015686
ENSG00000141384	ENSG00000133704	0.7266137599945068
ENSG00000141384	ENSG00000277633	0.7135006785392761
ENSG00000141384	ENSG00000151491	0.6924701929092407
ENSG00000141384	ENSG00000136810	0.6906973123550415
ENSG00000141384	ENSG00000103037	0.6856567859649658
ENSG00000141384	ENSG00000184557	0.683070719242096
ENSG00000141639	ENSG00000077549	0.7306516766548157
ENSG00000141639	ENSG00000107159	0.7250955104827881
ENSG00000141639	ENSG00000077279	0.7220927476882935
ENSG00000141639	ENSG00000106852	0.721575915813446
ENSG00000141639	ENSG00000079805	0.7099975347518921
ENSG00000141639	ENSG00000106723	0.6989923119544983
ENSG00000141639	ENSG00000119922	0.6963168382644653
ENSG00000141639	ENSG00000005022	0.6941092610359192
ENSG00000141639	ENSG00000186049	0.6879968643188477
ENSG00000141639	ENSG00000161057	0.6727659702301025
ENSG00000197558	ENSG00000132522	0.6631911993026733
ENSG00000197558	ENSG00000188785	0.6559188365936279
ENSG00000197558	ENSG00000186230	0.6556510329246521
ENSG00000197558	ENSG00000144840	0.6469859480857849
ENSG00000197558	ENSG00000130052	0.6389684677124023
ENSG00000197558	ENSG00000278270	0.6344926953315735
ENSG00000197558	ENSG00000273943	0.6341081857681274
ENSG00000197558	ENSG00000109083	0.6336615085601807
ENSG00000197558	ENSG00000186335	0.629183828830719
ENSG00000197558	ENSG00000121281	0.6135037541389465
ENSG00000228520	ENSG00000101333	0.6483384370803833
ENSG00000228520	ENSG00000073849	0.6439456939697266
ENSG00000228520	ENSG00000149182	0.6377995014190674
ENSG00000228520	ENSG00000167528	0.6376695036888123
ENSG00000228520	ENSG00000090905	0.6256479620933533
ENSG00000228520	ENSG00000070761	0.6144217252731323
ENSG00000228520	ENSG00000164691	0.6125802993774414
ENSG00000228520	ENSG00000083828	0.6091423034667969
ENSG00000228520	ENSG00000196814	0.6054320335388184
ENSG00000228520	ENSG00000008197	0.6008878350257874
ENSG00000124126	ENSG00000211949	0.6483105421066284
ENSG00000124126	ENSG00000118058	0.6337131261825562
ENSG00000124126	ENSG00000160410	0.619475781917572
ENSG00000124126	ENSG00000136574	0.608344316482544
ENSG00000124126	ENSG00000206312	0.6007453203201294
ENSG00000124126	ENSG00000151465	0.5920834541320801
ENSG00000124126	ENSG00000108849	0.576897144317627
ENSG00000124126	ENSG00000183742	0.5768108367919922
ENSG00000124126	ENSG00000237051	0.5738698840141296
ENSG00000124126	ENSG00000131482	0.5724067687988281
ENSG00000125931	ENSG00000134070	0.6976890563964844
ENSG00000125931	ENSG00000062725	0.6879308223724365
ENSG00000125931	ENSG00000147140	0.6849980354309082
ENSG00000125931	ENSG00000113263	0.684796154499054
ENSG00000125931	ENSG00000015285	0.6811593770980835
ENSG00000125931	ENSG00000106588	0.6807817816734314
ENSG00000125931	ENSG00000067182	0.6791625022888184
ENSG00000125931	ENSG00000004897	0.6761114597320557
ENSG00000125931	ENSG00000197958	0.6714869737625122
ENSG00000125931	ENSG00000164506	0.670616865158081
ENSG00000203737	ENSG00000163681	0.631169319152832
ENSG00000203737	ENSG00000139117	0.5817281603813171
ENSG00000203737	ENSG00000134138	0.5713783502578735
ENSG00000203737	ENSG00000184160	0.5499857068061829
ENSG00000203737	ENSG00000152465	0.5416934490203857
ENSG00000203737	ENSG00000109475	0.5162110924720764
ENSG00000203737	ENSG00000123810	0.5119869709014893
ENSG00000203737	ENSG00000154370	0.5099300742149353
ENSG00000203737	ENSG00000213782	0.5084645748138428
ENSG00000203737	ENSG00000187498	0.5012982487678528
